date,tweets
September2009,3972
October2009,8439
November2009,9337
December2009,5431
January2010,4129
February2010,7632
March2010,10208
April2010,14336
May2010,7297
June2010,10624
July2010,37908
August2010,25580
September2010,30021
October2010,24850
November2010,30915
December2010,28286
January2011,48220
February2011,66994
March2011,54862
April2011,62705
May2011,59762
June2011,55543
July2011,56762
August2011,73897
September2011,59268
October2011,45369
November2011,58995
December2011,46893
January2012,61712
February2012,289843
March2012,238587
April2012,87907
May2012,78144
June2012,75780
July2012,120345
August2012,302149
September2012,158948
October2012,250758
November2012,160845
December2012,96995
January2013,206774
February2013,164500
March2013,185139
April2013,176556
May2013,179306
June2013,183191
July2013,188529
August2013,146959
September2013,151316
October2013,181161
November2013,174900
December2013,146080
January2014,198872
